,BNN,PPM,RAP
0,8.8385160040974071,52.166703676550341,13.760402962839933
1,10.049436836325832,54.735202993217172,11.214200475900039
2,8.0798854783089844,55.205297279375486,12.584649853459512
3,8.1576418462010665,51.45731571085846,14.714501760677233
4,9.5383535860440283,54.848285866949112,13.539919503668647
5,8.6841685106145619,54.34108786177849,12.391494587885379
6,9.9344653143687047,53.710249914400862,13.327762148522361
7,9.3014458628654157,55.044895933684529,12.428448999402498
8,9.2618536374919707,54.455129712811917,13.25620284144291
9,9.6030383031871249,51.503652728207165,10.503992074980859
10,9.5815988602988931,51.365096416715033,13.615254109726154
11,9.3597231133704675,52.836047203774818,14.65082941725723
12,11.259633996118968,49.509526110202415,10.445848557576493
13,9.8769280030438313,54.031474974547976,13.734136205893256
14,8.4599982995942593,53.686446719689137,13.355793028831767
15,9.9606967872690326,53.091714746121831,11.837058904901758
16,9.8922586199585503,52.119152325605967,12.583790324205436
17,8.5810066777206995,52.924128516072876,13.129980809571389
18,8.791831672415876,55.717994497613113,11.946948752829318
19,10.17420100332688,55.405984932951021,11.934459343239357
